customer_id,name,phone,address,pincode,area,latitude,longitude,registration_date
CUST0001,Yogesh Dairy,9868125902,321 Dairy Lane,560070,Banashankari,12.916119970982084,77.54819465121126,2025-02-06
CUST0002,Suresh Dairy,9732857142,456 Village Center,560025,Banashankari,12.913369770263493,77.55016151009869,2025-02-21
CUST0003,Pavan Dairy,9804342695,147 Farm House,562159,Ramanagara,12.720394859886316,77.29274052364944,2025-07-03
CUST0004,Deepak Dairy,9395714553,654 Cattle Street,560100,Indiranagar,12.98069757333105,77.6335470270882,2025-05-07
CUST0005,Girish Dairy,9426052350,741 Dairy Complex,560046,Malleshwaram,13.018926249549688,77.57292438135437,2025-02-10
CUST0006,Sundar Dairy,9694619634,159 Dairy Hills,560100,Indiranagar,12.968862470764853,77.64288816853065,2025-07-03
CUST0007,Kiran Dairy,9696943709,258 Village Square,560004,Bangalore City,12.97070677933467,77.58559566994651,2025-02-02
CUST0008,Nagaraj Dairy,9904646658,159 Rural Plaza,560095,Koramangala,12.953379680200985,77.63454423645572,2025-05-26
CUST0009,Vinod Dairy,9456380693,951 Village Grove,560025,Banashankari,12.909793936221094,77.55480972900274,2025-04-27
CUST0010,Krishnamurthy Dairy,9504539515,753 Farm Valley,571401,Mandya,12.512152240680134,76.90165403417004,2025-05-22
CUST0011,Sandeep Dairy,9605375746,852 Farm Estate,560003,Bangalore City,12.972890088389914,77.59692438821158,2025-07-16
CUST0012,Manjunath Dairy,9735092272,321 Dairy Lane,560018,Seshadripuram,12.996462335025095,77.57930289049341,2025-06-20
CUST0013,Vinod Dairy,9832768428,159 Dairy Hills,560076,Koramangala,12.93972505073247,77.62821402815496,2025-04-02
CUST0014,Sundar Dairy,9830140029,951 Village Grove,560002,Bangalore City,12.973231765826984,77.59932953126902,2025-06-28
CUST0015,Dairy Farm B,9547193346,456 Village Center,570001,Mysore,12.285955042136294,76.64450891683317,2025-05-29
CUST0016,Yogesh Dairy,9280606887,159 Dairy Hills,560041,Jayanagar,12.93253413848024,77.59810999011776,2025-02-21
CUST0017,Ramesh Dairy,9343727193,258 Village Square,560046,Malleshwaram,13.009462065159644,77.58130910974117,2025-02-16
CUST0018,Mohan Dairy,9557958342,741 Dairy Complex,560003,Bangalore City,12.980362660772828,77.60676004741988,2025-05-01
CUST0019,Suresh Dairy,9661231219,123 Farm Road,560046,Malleshwaram,13.005911190872476,77.57549544335319,2025-04-14
CUST0020,Anand Dairy,9303632761,258 Village Square,560018,Seshadripuram,12.992920311052979,77.57420947022094,2025-03-25
CUST0021,Lakshmi Dairy,9151649564,654 Cattle Street,560005,Bangalore City,12.965199908288211,77.59901644220248,2025-03-28
CUST0022,Lakshmi Dairy,9994055697,789 Rural Road,560003,Bangalore City,12.983899708564895,77.60193692469596,2025-02-19
CUST0023,Dairy Farm B,9313238332,963 Village Park,560020,Rajajinagar,12.986048729096328,77.55948862357438,2025-04-16
CUST0024,Naveen Dairy,9611101552,789 Rural Road,573201,Hassan,13.00119863116532,76.09435671407886,2025-06-29
CUST0025,Prakash Dairy,9642290472,741 Dairy Complex,570001,Mysore,12.288462328842753,76.64154167008144,2025-04-03
CUST0026,Girish Dairy,9605471769,951 Village Grove,573201,Hassan,12.99975515725523,76.10545453861204,2025-05-30
CUST0027,Srinivas Dairy,9581184548,654 Cattle Street,560050,Basavanagudi,12.932619664397157,77.56975277378271,2025-03-04
CUST0028,Ashok Dairy,9801511955,654 Cattle Street,570001,Mysore,12.291779980737568,76.63480156398417,2025-07-02
CUST0029,Yogesh Dairy,9480532190,456 Village Center,560095,Koramangala,12.939362305865833,77.63245975117297,2025-03-18
CUST0030,Rajesh Dairy,9518217678,753 Farm Valley,560001,Bangalore City,12.975836107813153,77.59909553820307,2025-07-06
CUST0031,Dairy Farm A,9154788470,369 Rural Junction,560004,Bangalore City,12.963947506372111,77.58618626804369,2025-03-02
CUST0032,Sandeep Dairy,9943967416,654 Cattle Street,560003,Bangalore City,12.97744701021274,77.59962833654805,2025-04-22
CUST0033,Anand Dairy,9416805282,369 Rural Junction,560040,Jayanagar,12.932000470797982,77.58075238074795,2025-03-12
CUST0034,Gowri Dairy,9590820197,147 Farm House,560040,Jayanagar,12.926736505860537,77.58978200225292,2025-06-23
CUST0035,Dairy Farm C,9424572228,789 Rural Road,577001,Davangere,14.465542897982594,75.92675263859883,2025-05-27
CUST0036,Rajesh Dairy,9139367384,753 Farm Valley,560008,Malleshwaram,12.994782592496158,77.56725513663217,2025-07-12
CUST0037,Dairy Farm A,9995503555,258 Village Square,560050,Basavanagudi,12.937041565553939,77.56774707866619,2025-04-18
CUST0038,Ashok Dairy,9365406604,753 Farm Valley,560025,Banashankari,12.91673009850692,77.54223445768521,2025-02-28
CUST0039,Dairy Farm A,9183891558,123 Farm Road,560041,Jayanagar,12.920293512913677,77.5864497394201,2025-01-18
CUST0040,Pavan Dairy,9227380913,159 Dairy Hills,560004,Bangalore City,12.972228181901759,77.58489574705382,2025-05-25
CUST0041,Kiran Dairy,9684498599,753 Farm Valley,560046,Malleshwaram,13.004993309895223,77.5764740147132,2025-04-23
CUST0042,Nagaraj Dairy,9547730143,987 Milk Road,560025,Banashankari,12.913092432643131,77.55526866093466,2025-03-24
CUST0043,Girish Dairy,9497481390,159 Rural Plaza,560017,Seshadripuram,12.98966052663094,77.56606249004919,2025-01-27
CUST0044,Ravi Dairy,9310209123,741 Dairy Complex,560003,Bangalore City,12.983715599628479,77.59832799302222,2025-02-28
CUST0045,Govind Dairy,9271216410,789 Rural Road,560005,Bangalore City,12.970370731986286,77.60228170252135,2025-03-20
CUST0046,Deepak Dairy,9618092864,753 Farm Meadows,560004,Bangalore City,12.971382436593991,77.59534756853287,2025-05-19
CUST0047,Mahesh Dairy,9963847041,963 Village Park,560070,Koramangala,12.936811797839828,77.6214873588306,2025-04-24
